台灣自來水股份有限公司第三區管理處,,,,,,,,
材料清單,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
工程名稱,新竹縣富百田社區開發供水機電工程,,,會計科目,,,,
施工地點,新竹縣,,,工程編號,WQ11031101,,,
項 次,項  目  及  說  明,單 位,數 量,單 價,複 價,,,編碼(備註)
<一>,　施工費：(發包部份),,  ,,,,,
<A>,　　施工費(項目),,  ,,,,,
<1>,　　　竹北營運所,,  ,,,,,
47,中央監視主控制設備，現場數位控制器，PLC.CPU模組,只, 1.00 ,, 不含估價 ,,,詳規範
48,中央監視主控制設備，現場數位控制器，數位輸入模組,只, 2.00 ,, 不含估價 ,,,詳規範
49,中央監視主控制設備，現場數位控制器，數位輸出模組,只, 1.00 ,, 不含估價 ,,,詳規範
50,中央監視主控制設備，現場數位控制器，類比輸入模組,只, 1.00 ,, 不含估價 ,,,詳規範
51,中央監視主控制設備，現場數位控制器，通訊模組,只, 1.00 ,, 不含估價 ,,,詳規範
52,電力監視及控制設備，串列輸出轉換器,只, 1.00 ,, 不含估價 ,,,詳圖說或規範
53,洩壓閥感應開關(防水型),組, 2.00 ,, 不含估價 ,,,
54,洩壓閥感應開關(防水型),工, 6.00 ,, 不含估價 ,,,修改工資
55,電力監視及控制設備，串聯型突波消除抑制器,只, 6.00 ,, 不含估價 ,,,詳圖說或規範
56,電力監視及控制設備，訊號用突波消除器,只, 5.00 ,, 不含估價 ,,,詳圖說或規範
57,電力監視及控制設備，數據訊號突波消除器,只, 1.00 ,, 不含估價 ,,,詳圖說或規範
58,門禁偵測器,只, 3.00 , 500 ," 1,500 ",,,
59,溫控開關0~60℃可調,組, 2.00 , 400 , 800 ,,,
60,"4'~6""吸排風扇含IP44過濾網1∮ 110/220V風量≧8CMM",式, 1.00 ," 9,500 "," 9,500 ",,,
61,不銹鋼製加熱器220V 150W附可調濕度控制,組, 1.00 ," 2,700 "," 2,700 ",,,(屋外型開關箱用)
62,24Hr轉盤型時間電驛(輔助控制用),只, 1.00 ," 1,500 "," 1,500 ", 國際 ,,
63,沉水式電動抽水機(低吸型)，70≦總揚程＜80m，500≦出水量＜1000m3/d，7.5≦額定功率＜15kW,台, 4.00 ,, 不含估價 ,,,詳圖說或規範
64,導線管，聚氯乙烯塑膠硬質管，E管，(標稱28mm，厚≧2.7mm),M, 36.00 ,, 不含估價 ,,,CNS 1302(含管配件、大月彎及工料)
65,導線管，聚氯乙烯塑膠硬質管，E管，(標稱52mm，厚≧3.6mm),M, 48.00 ,, 不含估價 ,,,CNS 1302(含管配件、大月彎及工料)
66,導線管，聚氯乙烯塑膠硬質管，E管，(標稱80mm，厚≧5.1mm),M, 12.00 ,, 不含估價 ,,,CNS 1302(含管配件、大月彎及工料)
67,C型鋼管夾固定組(不銹鋼製),組, 10.00 ,, 不含估價 ,,,
68,電纜（線）、控制通訊線、匯流排及色套線號端子等,式, 1.00 ," 13,500 "," 13,500 ",,,
69,接地處理R<10Ω(含接地棒、火藥熔接等),處, 3.00 ,, 不含估價 ,,,詳規範
70,接地箝制器,只, 1.00 ,, 不含估價 ,,,
71,圖控或PLC軟體設計費,工, 8.00 ,, 不含估價 ,,,詳規範
72,圖控或PLC試車及調整,工, 5.00 ,, 不含估價 ,,,詳規範
73,監控系統及通訊控制器軟體增修,工, 12.00 ,, 不含估價 ,,,詳規範
74,試車及調整費,式, 1.00 ,, 不含估價 ,,,
75,運什費,車, 1.00 ," 15,000 "," 15,000 ",,,
76,工資(含辦理用電電信線路申請手續等),工, 40.00 ,, 不含估價 ,,,
,盤內組裝工資,式, 1.00 ," 64,000 "," 64,000 ",,,
77,低壓配電盤，五金及另料(約3%),式, 1.00 ," 4,000 "," 4,000 ",,,材料部份(不含工資、試車調整及運費等)
,中繼池加壓站計,,  ,,,,,
<5>,　　　富百田北區水位傳訊站,,  ,,,,,
1,低壓配電盤，(電力公司電表箱，30A以下)，一般屋外型，304不銹鋼板，含箱內結線及支持礙子等,只, 1.00 ," 22,000 "," 22,000 ", 順大電機 ,,t≧2.0mmt，，依台電標準，詳圖說或規範
2,低壓配電盤，(配電箱，屋外型，粉體烤漆)，W:700，H:2200，D:600,座, 1.00 ," 68,400 "," 68,400 ", 順大電機 ,,(含基座等)詳圖及第163215章規範
3,低壓配電盤，控制開關，閘刀開關，1∮2W,只, 1.00 ," 1,100 "," 1,100 ", 光威 ,,100A(A級)
4,軌道型歐規保險絲座(熔斷指示燈LED)，含保險絲(2A),只, 5.00 , 100 , 500 ,,,#
5,無熔線斷路器，2P，20AT，15kA，110V，(AC，Ics),只        , 4.00 ," 1,400 "," 5,600 ", 三菱 , NF63-SV ,詳圖說或規範
6,低壓配電盤，電壓錶，0-110V，廣角度,只, 1.00 ," 1,000 "," 1,000 ", 勝全 , LS-110 ,詳圖說或規範
7,低壓配電盤，盤內照明及微動開關，日光燈，T5，8W，110/220V,組, 1.00 ," 1,000 "," 1,000 ",,,
8,漏電斷路器，2P，15AT，(Ics，15kA)，(AC，110V)，(30mA，0.1s),只, 2.00 ," 3,100 "," 6,200 ", 三菱 , NV63-HV ,詳圖說或規範
9,電力監視及控制設備，電源（並聯型）用突波消除器(≧40KA),只, 1.00 ,, 不含估價 ,,,詳圖說或規範
10,中央監視主控制設備，不斷電系統，ON LINE，1kVA,只, 1.00 ,, 不含估價 ,,,詳規範
11,防雷電源突波接地型三連插座-≧15A,只, 1.00 , 900 , 900 ,,,
12,CP，2P，3A，1kA，110/220V，(AC，Ics),只, 3.00 , 500 ," 1,500 ", hager , MY-2 ,#詳圖說或規範
13,電力監視及控制設備，電源供應器,只, 1.00 , - , 不含估價 ,,,110V/24DC，≧300W
14,水位計，LED指示器(四位數以上不含小數位),只, 1.00 ,, 不含估價 ,,,詳規範
15,水位計，壓力式,只, 1.00 ,, 不含估價 ,,,詳規範
16,電力監視及控制設備，串聯型突波消除抑制器,只, 2.00 ,, 不含估價 ,,,詳圖說或規範
17,電力監視及控制設備，訊號用避雷器,只, 2.00 ,, 不含估價 ,,,詳圖說或規範
18,電力監視及控制設備，數據訊號突波消除器,只, 1.00 ,, 不含估價 ,,,詳圖說或規範
19,中央監視主控制設備，現場數位控制器，可程式控制器(PLC),台, 1.00 ,, 不含估價 ,,,詳規範(含網路模組)
20,門禁偵測器,只, 1.00 , 600 , 600 ,,,
21,接地處理R<10Ω(含接地棒、火藥熔接等),處, 3.00 ,, 不含估價 ,,,詳規範
22,接地箝制器,只, 1.00 ,, 不含估價 ,,,
23,控制開關，(選擇開關，保持型(不復歸))，三段,只, 1.00 , 320 , 320 , 富士 , AR30PR ,詳圖說或規範
24,控制開關，照光按鈕開關,只, 2.00 , 500 ," 1,000 ", 富士 , AR30EOL ,詳圖說或規範
25,輔助電驛組,式, 1.00 ," 2,400 "," 2,400 ",,,詳圖說或規範
26,直接啟動器，1∮110V，1HP級W/TH-RY,組, 1.00 ," 1,000 "," 1,000 ", 富士 , SW-05 ,詳圖說或規範
27,"LED屋外投光燈具，110/220V，≧90Lm/W，9,000Lm，晝光色或燈泡色",組, 1.00 ,, 不含估價 ,,,含固定架、自動點滅器等
28,不銹鋼製加熱器220V 150W附可調濕度控制,組, 1.00 ," 2,700 "," 2,700 ",,,(屋外型開關箱用)
29,"4'~6""吸排風扇含IP44過濾網1∮ 110/220V風量≧8CMM",式, 1.00 ," 7,000 "," 7,000 ",,,
30,溫控開關0~60℃可調,組, 1.00 , 400 , 400 ,,,
